  -0.2813,  0.1308 0.0448 -0.0077 0.1203 0.0213 -0.1404 -0.2040 0.0952 -0.0029
  -0.1287,  0.0225 0.0563 0.0370 -0.1182 -0.0140 -0.2561 0.0971 -0.0551 -0.0719
  -0.4076,  0.1285 -0.0364 -0.0057 -0.0133 0.0399 0.0926 0.0722 0.0191 -0.0663
  -0.0040,  -0.0016 -0.1490 0.0090 -0.0900 0.1674 -0.0622 -0.0498 -0.0318 -0.0707
  -0.2713,  -0.0066 0.1871 -0.2027 -0.0730 -0.0726 0.0349 -0.0016 -0.0538 0.0375
  -0.3795,  -0.0414 -0.0172 0.0889 -0.0150 0.1970 0.2118 -0.0162 -0.0833 -0.0957
  -0.2755,  -0.1291 0.0669 -0.0576 0.0817 -0.0613 0.0015 -0.0113 -0.0820 0.0615
  -0.2733,  -0.0379 0.0050 0.0949 -0.0364 -0.1232 0.0267 -0.0747 0.0195 0.0776
  -0.3387,  0.0082 0.1426 0.0490 0.1245 -0.1237 0.0824 -0.0882 -0.0372 -0.0470
  -0.2806,  -0.1516 0.1354 0.0813 -0.0125 -0.1760 -0.1626 0.0252 -0.0022 0.0225
  -0.1191,  -0.0440 -0.0848 -0.0180 -0.0361 -0.0234 0.0026 -0.0643 -0.0969 -0.1676
  -0.2798,  0.0680 -0.0118 0.0331 -0.0335 0.0621 -0.1227 -0.0304 0.0665 -0.0574
  -0.3054,  -0.0094 -0.0711 0.0139 -0.1147 -0.1330 -0.0421 0.0480 0.0680 -0.0188
  -0.3048,  0.0171 0.0995 -0.1857 -0.0006 -0.2483 0.0002 0.0650 -0.0643 0.0826
  -0.6400,  -0.1511 -0.1125 -0.1518 -0.0751 -0.1231 -0.1057 -0.1738 -0.2086 -0.1338
  -0.0475,  -0.0158 -0.0293 -0.0087 -0.0494 -0.0609 -0.1053 0.0409 -0.0721 -0.0555
